icao,callsign,altitude,lat,lon,type,military,last_seen,icao_type,manufacturer,owner,registered_owner_country_iso_name,registered_owner_operator_flag_code,adsbdb_last_checked
A7816A,DAL548  ,35025,,,Unknown,Unknown,2025-05-27 04:59:49,,,,,,
A35592,,35000,,,Unknown,Unknown,2025-05-27 05:00:52,BCS3,Airbus Canada,JetBlue Airways,US,JBU,2025-05-27 05:00:01
A38C66,DAL541  ,38000,,,Unknown,Unknown,2025-05-27 05:08:37,,,,,,
AC3ADF,,38000,,,Unknown,Unknown,2025-05-27 05:03:41,B38M,Boeing,Southwest Airlines,US,SWA,2025-05-27 05:02:08
A21ED4,,,,,Unknown,Unknown,2025-05-27 05:03:45,B739,Boeing,Alaska Airlines,US,ASA,2025-05-27 05:04:15
A126C3,UAL1827 ,35000,41.06745,-81.10519,Unknown,Unknown,2025-05-27 05:12:06,B38M,Boeing,UMB Bank NA Trustee,US,BE9L,2025-05-27 05:06:22
AACD50,,35000,,,Unknown,Unknown,2025-05-27 05:17:29,B738,Boeing,United Airlines,US,UAL,2025-05-27 05:10:36
AB8F36,FDX34   ,39000,41.27188,-80.83234,Unknown,Unknown,2025-05-27 05:19:25,B77L,Boeing,FedEx Express,US,FDX,2025-05-27 05:10:36
AC8A66,AAL1590 ,19250,41.03552,-81.99858,Unknown,Unknown,2025-05-27 05:17:34,B738,Boeing,American Airlines,US,AAL,2025-05-27 05:12:43
ACBE34,,35700,,,Unknown,Unknown,2025-05-27 05:20:08,B39M,Boeing,Alaska Airlines,US,ASA,2025-05-27 05:14:51
AD7ECB,,37025,,,Unknown,Unknown,2025-05-27 05:14:13,A320,Airbus,Bank of Utah Trustee,US,C441,2025-05-27 05:14:51
A7EA7E,,33000,,,Unknown,Unknown,2025-05-27 05:18:08,B748,Boeing,United Parcel Service,US,UPS,2025-05-27 05:16:58
ACC76B,AAL437  ,35000,40.35804,-80.74077,Unknown,Unknown,2025-05-27 05:22:57,A321,Airbus,American Airlines,US,AAL,2025-05-27 05:16:58
A59A9B,N460LF  ,3800,41.40370,-81.58000,Unknown,Unknown,2025-05-27 05:29:04,,,,,,
A32C47,,30325,,,Unknown,Unknown,2025-05-27 05:23:21,B763,Boeing,United Parcel Service,US,UPS,2025-05-27 05:19:06
A8986C,,34975,,,Unknown,Unknown,2025-05-27 05:22:19,,,,,,
AD646E,,,,,Unknown,Unknown,2025-05-27 05:25:11,A321,Airbus,JetBlue Airways,US,JBU,2025-05-27 05:21:14
A65BBC,DAL1697 ,37025,41.70811,-80.94471,Unknown,Unknown,2025-05-27 05:28:53,A21N,Airbus,Delta Air Lines,US,DAL,2025-05-27 05:23:22
A984B1,NKS2133 ,37000,40.51845,-81.81067,Unknown,Unknown,2025-05-27 05:38:34,A321,Airbus,Spirit Airlines,US,NKS,2025-05-27 05:29:45
A44984,,35000,,,Unknown,Unknown,2025-05-27 05:30:53,B39M,Boeing,United Airlines,US,UAL,2025-05-27 05:29:45
A1E14A,ABX2020 ,37000,40.84250,-81.11810,Unknown,Unknown,2025-05-27 05:37:15,B763,Boeing,DHL Air,US,ABX,2025-05-27 05:29:45
A6BB97,JIA5210 ,24025,40.71570,-81.05913,Unknown,Unknown,2025-05-27 05:39:37,CRJ7,Bombardier,American Eagle,US,JIA,2025-05-27 05:31:54
AD7D9F,ASA344  ,37000,,,Unknown,Unknown,2025-05-27 05:40:03,B39M,Boeing,Alaska Airlines,US,ASA,2025-05-27 05:34:02
A4418D,UAL1418 ,35000,40.61087,-81.07770,Unknown,Unknown,2025-05-27 05:42:39,B38M,Boeing,UMB Bank NA Trustee,US,BE9L,2025-05-27 05:36:10
A55024,UPS557  ,38000,41.00395,-80.27673,Unknown,Unknown,2025-05-27 23:56:54,B752,Boeing,United Parcel Service,US,UPS,2025-05-27 23:53:17
A5EA84,N480VR  ,39050,41.00853,-80.15906,Unknown,Unknown,2025-05-27 23:56:55,GLF4,Gulfstream Aerospace,Pegasus Elite Aviation,US,PEG,2025-05-27 23:53:17
A3176B,,32025,,,Unknown,Unknown,2025-05-27 23:53:56,B763,Boeing,FedEx Express,US,FDX,2025-05-27 23:53:17
A94B4D,UAL2613 ,35000,41.74037,-80.17880,Unknown,Unknown,2025-05-27 23:55:01,B739,Boeing,United Airlines,US,UAL,2025-05-27 23:53:17
A6ED3B,,,,,Unknown,Unknown,2025-05-27 23:56:49,,,,,,
AA5F41,AAL132  ,37000,41.14796,-81.99078,Unknown,Unknown,2025-05-27 23:56:53,B772,Boeing,American Airlines,US,AAL,2025-05-27 23:55:11
A41722,UAL1211 ,23525,41.03110,-81.67917,Unknown,Unknown,2025-05-27 23:56:55,B738,Boeing,United Airlines,US,UAL,2025-05-27 23:55:11
A18284,DAL991  ,37000,42.20375,-81.20638,Unknown,Unknown,2025-05-27 23:55:57,B763,Boeing,Delta Air Lines,US,DAL,2025-05-27 23:55:11
A440C0,UPS1013 ,36025,40.39179,-80.85613,Unknown,Unknown,2025-05-27 23:56:55,,,,,,
ABE5A2,,35000,40.49691,-82.02855,Unknown,Unknown,2025-05-27 23:56:55,,,,,,
C00642,,30000,,,Unknown,Unknown,2025-05-27 23:56:54,,,,,,
